#{"t_start": 1683837538.6150088, "env_id": "RobotEnv-v0"}
r,l,t
-12.408083,500,9.674881
-17.334273,500,19.231757
191.033404,31,19.848389
-15.425604,500,29.274245
-10.288317,500,38.909819
-12.580522,500,48.498228
191.187608,31,49.119756
189.898016,33,49.779425
-19.20854,500,59.380511
-10.492143,500,68.91032
-15.372905,500,78.449682
186.551387,38,79.206174
-12.970287,500,88.653058
191.126393,31,89.285992
191.304741,31,89.89404
-16.425896,500,99.400009
190.67705,32,100.031339
-13.652253,500,109.668574
190.078912,33,110.333331
189.219671,34,111.016129
