#{"t_start": 1683229525.9098, "env_id": "RobotEnv7-v0"}
r,l,t
184.86178,69,49.183241
198.02642,40,50.717131
-37.520733,391,65.727074
197.604163,51,67.706161
-192.67679,449,84.331642
192.55682,133,89.50173
198.833143,20,90.289525
193.825206,79,93.233402
-126.28006,268,103.236777
150.506634,159,109.131479
188.489639,87,112.421148
148.684563,156,118.056307
195.917716,48,119.792488
-11.265852,50,121.619999
183.499222,102,125.328771
-137.406905,398,138.769686
195.358951,70,141.401033
189.596556,43,143.058219
197.690953,28,144.150804
168.908237,102,147.96845
179.202423,76,150.857946
175.916202,124,155.552849
-29.041123,57,157.688061
197.774674,39,159.193494
193.740643,83,162.334578
184.592421,81,165.421676
-117.488334,297,176.205441
182.727526,77,179.128446
165.024122,111,183.415031
180.13677,154,189.154049
165.851837,85,192.434067
197.767619,32,193.698592
-5.741926,41,195.282554
143.593332,216,203.328491
198.127707,35,204.622788
169.636902,79,207.683933
198.661483,23,208.557053
196.716164,56,210.648733
194.696129,63,212.990812
-13.772328,28,214.081062
195.431144,51,216.036156
-46.967413,449,231.780922
191.152498,81,234.562307
195.063922,57,236.519582
168.695428,84,239.329294
-99.399087,278,248.44904
168.28758,182,254.786567
197.6277,56,256.905012
-15.746468,262,266.747722
142.970791,238,275.659044
196.705075,103,279.49645
188.502951,114,283.875536
-9.324995,45,285.643254
179.449315,73,288.432831
196.517233,41,289.996541
184.267237,72,292.697419
152.035501,140,297.974304
153.972222,102,301.591168
190.616075,55,303.6783
199.529167,16,304.312001
-0.244956,1,304.382961
184.67477,58,306.585329
190.730001,62,308.955932
155.939018,112,312.471211
196.249236,66,314.469738
193.990452,54,316.28489
165.304587,86,319.013296
-3.812454,62,321.36384
195.966086,31,322.558072
-155.842686,469,339.777794
183.586571,92,343.27424
160.884334,87,346.632166
166.36992,86,349.909264
-17.448073,235,358.649403
169.312369,93,362.210678
-198.714511,407,377.565087
-212.652842,500,396.032773
190.07128,89,399.522809
156.634143,111,403.708647
192.454645,147,409.202914
190.345507,73,411.976515
189.228946,61,414.279339
-13.0463,19,415.01532
173.130498,107,419.030551
174.00374,83,422.266882
184.364193,112,426.54634
182.456151,105,430.619336
-24.052272,93,434.181009
184.653636,71,436.915752
194.524931,89,440.309032
181.754215,73,443.185538
191.692642,108,447.326741
-32.911004,159,453.470144
196.706369,66,456.066941
184.242957,350,469.226525
193.747228,56,471.356418
-2.576841,28,472.466382
-23.960735,500,491.666244
193.871427,58,493.910974
195.480604,128,498.809364
