#{"t_start": 1683914496.958365, "env_id": "RobotEnv8-v0"}
r,l,t
181.916897,133,9.512563
182.562651,225,17.0125
185.338507,131,21.876396
187.140349,54,23.74518
185.451442,75,26.448291
186.698434,98,30.366873
174.502814,365,44.080116
184.565458,68,46.700439
177.321349,93,50.30048
185.409141,47,52.284441
186.742521,58,54.372526
180.484732,96,57.335429
184.756961,68,59.110779
186.805253,66,60.952882
183.396339,132,64.156392
179.266812,115,66.823102
185.98109,82,69.172411
185.715896,97,73.548423
175.402273,180,80.47896
182.554773,245,89.877173
186.3441,88,92.997262
186.711793,72,95.592523
186.506428,62,98.17642
187.022753,48,100.021265
185.460719,92,103.416072
180.107338,65,105.640444
178.758837,105,109.706832
-32.842209,500,126.904433
176.154102,295,137.829519
185.553253,69,140.237302
183.475865,127,145.097222
180.848006,86,148.622116
181.29062,249,157.342443
186.35039,53,159.284534
183.70119,61,161.643467
181.196891,105,165.382698
186.113375,85,168.894314
178.965493,90,172.347163
184.885148,117,176.901915
178.834106,119,181.081488
183.637534,82,184.120402
184.193025,61,186.245059
187.127653,59,188.393281
184.671849,102,192.152491
172.582324,330,203.33955
179.840051,243,212.092588
183.992123,75,214.944655
185.846328,93,218.535484
182.518853,127,223.42204
186.691176,65,225.880386
182.888768,55,228.082203
180.561794,88,231.433954
174.132463,328,242.917308
186.150005,50,244.400214
186.160923,56,246.238396
180.205789,76,248.97641
188.058244,59,251.435857
185.503982,94,254.918234
181.211147,284,265.104991
184.912472,44,266.721982
178.291624,332,278.903151
180.775124,163,284.728448
177.74848,90,287.956514
185.710257,52,289.38767
182.740538,170,295.344427
182.747233,216,303.216393
184.783873,96,306.992111
182.683502,87,310.188476
184.268432,129,315.215886
179.706317,290,326.794053
187.192053,61,329.156565
177.930426,137,333.763422
186.450417,60,335.954599
182.945868,226,344.814564
185.022118,76,347.734087
185.465726,100,351.720451
182.499663,74,354.904457
181.967261,56,357.012037
181.489614,66,359.684438
176.924437,96,363.085003
185.44234,85,365.975688
181.247521,243,374.772657
181.50371,117,378.440149
186.170369,83,381.71479
183.13434,156,387.207483
178.158924,83,390.35643
187.132222,46,392.13184
186.682038,76,395.19723
177.107267,150,401.26858
184.979034,68,404.124607
175.276702,345,417.323428
186.544792,56,419.459364
184.161754,152,424.549159
179.957551,171,431.249139
177.678634,237,440.469442
179.08377,143,446.067467
182.964405,81,448.91245
186.824178,61,451.243284
179.713505,102,455.332328
182.413266,252,465.122332
