#{"t_start": 1683903195.714418, "env_id": "RobotEnv-v0"}
r,l,t
-322.20474,500,41.381815
-208.762947,500,82.104063
-341.06477,500,123.034103
-353.200861,500,163.974727
-350.859134,500,204.767617
-170.595153,500,246.016272
-354.729942,500,287.154616
-364.422641,500,328.153334
-367.667449,500,368.386316
-377.004264,500,408.937542
-231.668299,500,450.467628
-265.97961,500,491.498924
-185.930595,500,532.830847
-292.086733,500,574.111617
-348.929694,500,615.151471
-235.240556,500,656.437272
