#{"t_start": 1683903954.1956158, "env_id": "RobotEnv-v0"}
r,l,t
187.933682,36,0.703448
188.964256,35,1.388566
190.921514,31,2.014271
190.973237,31,2.622338
190.386421,32,3.25638
187.848038,36,3.963807
188.551039,35,4.650397
189.314926,34,5.320754
189.521486,34,5.987484
189.569387,34,6.653749
191.138954,31,7.27246
189.954002,33,7.885514
189.240207,34,8.514672
186.029159,39,9.272339
189.344484,34,9.928905
188.678969,35,10.623227
189.947916,33,11.267617
185.858584,39,12.029897
189.962442,33,12.664619
189.805129,33,13.301124
185.887831,39,13.992411
189.717976,33,14.576841
191.077965,31,15.176165
190.734846,32,15.801771
189.986142,33,16.463956
190.489583,32,17.115256
186.330953,38,17.853415
188.561371,35,18.522256
190.130856,33,19.175566
184.851116,40,19.972008
189.834618,33,20.615376
190.673609,32,21.254472
190.091416,33,21.924219
185.948286,39,22.699339
191.466112,31,23.317018
190.105546,33,23.974375
189.581755,34,24.650676
190.463854,32,25.29097
185.59651,39,26.060814
189.520597,34,26.748177
184.898918,40,27.53565
190.150749,33,28.138886
190.277089,33,28.796828
191.327943,31,29.387478
187.748041,36,30.071455
186.764692,38,30.820239
189.74355,33,31.482426
190.084093,33,32.133787
190.491811,32,32.768303
188.951071,35,33.463308
189.564926,34,34.126137
186.213434,39,34.862898
187.71023,36,35.5077
189.719604,33,36.119771
188.983103,35,36.81942
188.694206,35,37.510239
188.818685,35,38.153834
189.628361,34,38.820506
190.357306,32,39.463587
190.272462,33,40.110068
188.593242,35,40.80166
190.467356,32,41.38315
191.116862,31,41.951422
185.281258,40,42.756677
191.032163,31,43.375515
188.651706,35,44.061594
188.177996,36,44.745188
190.548805,32,45.364615
182.978789,43,46.193537
188.816076,35,46.877025
187.144689,37,47.583208
184.881829,40,48.333529
186.820262,38,49.080133
186.775171,38,49.821782
190.086595,33,50.48228
190.486666,32,51.11396
183.157665,43,51.940617
184.777016,41,52.74002
184.853136,40,53.535159
190.231413,33,54.196016
188.951626,35,54.897194
191.331801,31,55.521451
186.31238,38,56.277326
183.332564,42,57.12074
190.205372,33,57.730264
185.424952,40,58.486161
187.92026,36,59.221033
189.799976,33,59.870937
186.494207,38,60.612167
188.433563,35,61.304185
189.895983,33,61.979759
190.039117,33,62.617757
189.555635,34,63.26931
191.108326,31,63.88755
185.489504,40,64.680753
188.51337,35,65.374202
188.45381,35,66.069988
186.324739,38,66.822342
190.309661,33,67.4548
185.244674,40,68.208833
